Store,CompetitionDistance,StoreType_a,StoreType_b,StoreType_c,StoreType_d,Assortment_a,Assortment_b,Assortment_c,Promo2_0,Promo2_1,Promo_Jan,Promo_Feb,Promo_Mar,Promo_Apr,Promo_May,Promo_Jun,Promo_Jul,Promo_Aug,Promo_Sept,Promo_Oct,Promo_Nov,Promo_Dec,CompetitionDistance_log,CompMonth_sin,CompMonth_cos,PromoWeek_sin,PromoWeek_cos,CompetitionAgeMonths,Promo2AgeWeeks,CompetitionDistance_bin_Close,CompetitionDistance_bin_Far,CompetitionDistance_bin_Very_Far
1,7.147559271189454,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.0977184064732266,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,83,225,1,0,0
2,6.3473892096560105,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1.9943450405522716,-0.5000000000000004,0.8660254037844384,1.0,-1.6081226496766366e-16,93,278,0,0,0
3,9.556126244582746,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.356706378079107,-2.4492935982947064e-16,1.0,0.992708874098054,-0.12053668025532288,104,225,0,0,1
4,6.431331081933479,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.005704992338858,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,71,225,0,0,0
5,10.30598158469934,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.4253319294440017,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,4,225,0,0,1
6,5.739792912179234,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1.9080291992562277,-2.4492935982947064e-16,1.0,0.992708874098054,-0.12053668025532288,20,225,0,0,0
7,10.085850775128716,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.4056695902475114,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,28,225,0,0,1
8,8.925454386826402,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.2951026075732885,-0.8660254037844386,0.5000000000000001,0.992708874098054,-0.12053668025532288,10,225,0,0,1
9,7.616283561580385,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.153653850359465,-0.8660254037844385,-0.5000000000000004,0.992708874098054,-0.12053668025532288,180,225,1,0,0
10,8.058643712215618,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.2037194082101763,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,71,225,0,1,0
